fold,recall,fnr,f1
1,0.65,0.35,0.6887417218543046
2,0.5949367088607594,0.40506329113924056,0.6666666666666666
3,0.6375,0.36250000000000004,0.6845637583892618
4,0.5949367088607594,0.40506329113924056,0.6911764705882353
5,0.6,0.4,0.6808510638297872
6,0.6329113924050633,0.36708860759493667,0.6944444444444444
7,0.65,0.35,0.6797385620915033
8,0.6455696202531646,0.35443037974683544,0.6845637583892618
9,0.6375,0.36250000000000004,0.6710526315789473
10,0.620253164556962,0.379746835443038,0.6805555555555556
