image_path,weapon_detection_best_detections,weapon_detection_best2_detections,weapon_detection_model_detections,weapon_detection_EffientNet_detections,emotion_recognition_deepface_emotions,emotion_recognition_fer_emotions,environment_detection_violenceEnvironment_detections,alarme
05_14_0000498_jpg.rf.2dc6749bf53c2f5bb832d7017b206ce9.jpg,"[{'label': 'guns', 'confidence': 0.5970722436904907}]",[],"[{'label': 'Pistol', 'confidence': 0.8071887493133545}]","[{'label': 'no weapon', 'confidence': 0.0}]","{'emotion': 'sad', 'confidence': 48.79114322609563}","{'emotion': 'angry', 'confidence': 0.34}",[],1
05_14_0000524_jpg.rf.55dc571600a14c155d55e69eb39040d4.jpg,"[{'label': 'guns', 'confidence': 0.8635729551315308}]",[],"[{'label': 'Pistol', 'confidence': 0.9129512906074524}]","[{'label': 'weapon', 'confidence': 0.9937805533409119}]","{'emotion': 'fear', 'confidence': 56.962566737822684}","{'emotion': 'No Face', 'confidence': 0.0}",[],1
2058_jpg.rf.63ecb8f6bd31bfad7d9ee67929c67235.jpg,"[{'label': 'knife', 'confidence': 0.9346847534179688}]","[{'label': 'gun', 'confidence': 0.5804662704467773}]","[{'label': 'Grenade', 'confidence': 0.6798542737960815}]","[{'label': 'weapon', 'confidence': 0.9822956919670105}]","{'emotion': 'happy', 'confidence': 99.75169897079468}","{'emotion': 'No Face', 'confidence': 0.0}",[],1
2157_jpg.rf.e05fed412493a60318d4d8b6ead11b95.jpg,[],[],[],"[{'label': 'weapon', 'confidence': 0.9971129894256592}]","{'emotion': 'angry', 'confidence': 61.083002219558026}","{'emotion': 'No Face', 'confidence': 0.0}",[],1
2219_jpg.rf.94a0f263f223f80df6a269b94a139fbf.jpg,"[{'label': 'guns', 'confidence': 0.9123285412788391}]",[],[],"[{'label': 'no weapon', 'confidence': 0.0}]","{'emotion': 'sad', 'confidence': 99.98422264958755}","{'emotion': 'fear', 'confidence': 0.29}",[],1
2219_jpg.rf.d3dcf284217b80936a8c2d90b5169f51.jpg,"[{'label': 'knife', 'confidence': 0.9370748400688171}, {'label': 'knife', 'confidence': 0.6593185663223267}]",[],[],"[{'label': 'no weapon', 'confidence': 0.0}]","{'emotion': 'sad', 'confidence': 99.77381229400635}","{'emotion': 'No Face', 'confidence': 0.0}",[],1
267_jpeg_jpg.rf.2ab62ae727969b306b0226cfa7b51745.jpg,"[{'label': 'guns', 'confidence': 0.8459162712097168}]",[],"[{'label': 'Pistol', 'confidence': 0.85091632604599}]","[{'label': 'weapon', 'confidence': 0.9264369010925293}]","{'emotion': 'happy', 'confidence': 99.99501705110276}","{'emotion': 'No Face', 'confidence': 0.0}","[{'label': 'violence', 'confidence': 0.5359172821044922}]",1
363_jpg.rf.2c223cf8f409f257f95c1e2488363c8d.jpg,"[{'label': 'guns', 'confidence': 0.6584597229957581}]",[],"[{'label': 'Pistol', 'confidence': 0.6639134883880615}]","[{'label': 'weapon', 'confidence': 0.9939221143722534}]","{'emotion': 'sad', 'confidence': 95.01451253890991}","{'emotion': 'sad', 'confidence': 0.31}",[],1
372_jpg.rf.0c83d6dead76375e1febda2eb1d2af96.jpg,"[{'label': 'guns', 'confidence': 0.7577704191207886}]",[],[],"[{'label': 'no weapon', 'confidence': 0.0}]","{'emotion': 'happy', 'confidence': 99.99568462371826}","{'emotion': 'No Face', 'confidence': 0.0}",[],1
4733_jpg.rf.369af53f82983ea5ed8b4e054ef60726.jpg,"[{'label': 'knife', 'confidence': 0.9408478736877441}]",[],[],"[{'label': 'weapon', 'confidence': 0.9798251986503601}]","{'emotion': 'fear', 'confidence': 99.76400136947632}","{'emotion': 'sad', 'confidence': 0.36}",[],1
