weapon_detection_best_detections,weapon_detection_best2_detections,weapon_detection_model_detections,weapon_detection_EffientNet_detections,emotion_recognition_deepface_emotions,emotion_recognition_fer_emotions,environment_detection_violenceEnvironments,alarme
0.597072244,0,0.807188749,0,0.487911432,0.34,0,1
0.863572955,0,0.912951291,0.993780553,0.569625667,0,0,1
0.934684753,0.58046627,0.679854274,0.982295692,0.99751699,0,0,1
0,0,0,0.997112989,0.610830022,0,0,1
0.912328541,0,0,0,0.999842226,0.29,0,1
0.93707484,0,0,0,0.997738123,0,0,1
0.845916271,0,0.850916326,0.926436901,0.999950171,0,0.535917282,1
0.658459723,0,0.663913488,0.993922114,0.950145125,0.31,0,1
0.757770419,0,0,0,0.999956846,0,0,1
0.940847874,0,0,0.979825199,0.997640014,0.36,0,1
0.963605404,0,0,0,0.80236696,0,0,1
0.97816354,0,0.679549158,0,0.999359787,0.34,0,1
0.734636188,0.703239322,0.790385485,0,0.999910176,0.56,0,1
0.979311407,0.703258276,0.722555101,0.973363221,0.999783337,0.67,0,1
0.734636188,0.703239322,0.790385485,0,0.999910176,0.56,0,1
0.754446685,0,0,0.904228568,0.50050199,0,0,1
0.984336495,0,0,0,0.608925104,0.66,0,1
0.977379978,0,0,0,0.540729339,0,0,1
0.743076146,0,0,0.999780715,0.927667792,0,0,1
0.957826734,0,0,0,0.999155998,0,0,1
0.972099721,0,0,0,0.999502957,0,0,1
0.961486936,0,0,0,0.921685278,0,0,1
0.74502188,0,0,0,0.793792963,0,0.718620658,1
0.598669589,0,0,0,0.461448103,0,0,1
0,0,0,0,0.999119341,0,0,1
0,0,0,0,0.996715546,0,0,1
0.65874964,0,0.741685212,0.959587872,0.998577356,0,0,1
0,0,0,0.985305846,0.96540886,0,0,1
0,0,0,0,0.988739373,0,0,1
0.83316344,0,0,0.997118354,0.762116954,0.4,0,1
0.658726692,0,0,0.991378665,0.99548763,0,0.522402406,1
0.832373381,0.631028235,0.830912769,0,0.893644691,0,0,1
0.765328944,0.515311122,0.695299208,0,0.999273956,0,0,1
0.812910736,0,0,0,0.743815064,0,0,1
0.580515444,0,0,0.991024733,0.999989271,0,0,1
0.819328725,0,0.777732849,0,0.963867486,0.43,0,1
0.78781718,0,0.844432116,0.995132148,0.609359778,0,0,1
0,0,0,0,0.542655587,0,0.611006618,1
0,0,0.701114297,0,0.998683333,0,0,1
0,0,0,0,0.56953729,0,0,1
0,0,0,0,0.606884956,0,0,1
0.814085543,0.524301052,0.828662276,0,0.882663965,0,0,1
0,0,0,0,0.66281877,0,0,1
0,0,0.58903116,0.942161441,0.984255729,0,0,1
0.787794709,0.552384257,0.70301038,0,0.657409608,0,0,1
0.795029998,0,0.671950758,0,0.928931947,0,0.547903478,1
0,0,0.810225904,0,0.34342894,0,0,1
0,0,0,0,0.688175499,0.83,0,1
0,0,0,0,0.986942171,0,0,1
0,0,0,0,0.672368845,0.73,0,1
0.572791457,0,0,0,0.941545834,0.92,0,1
0,0,0.546753287,0,0.991309106,0.85,0,1
0.746397913,0,0.683891833,0,0.804264832,0.58,0,1
0.628713191,0,0,0,0.996686876,0.46,0,1
0.770858586,0,0.837905228,0.985934317,0.862804055,0.49,0,1
0,0,0.845886886,0.996950209,0.969494224,0,0.801030457,1
0,0,0.850891411,0.999316812,0.83692642,0,0.659259319,1
0,0,0.863219678,0.996768355,0.698319316,0.32,0.842294395,1
0,0,0.804980636,0,0.940128028,0,0,1
0,0,0.777651548,0,0.830579698,0,0,1
0,0,0.71784997,0.995222628,0.617237329,0,0,1
0,0,0.589156032,0,1,0.61,0,1
0,0,0,0.995174348,0.980167749,0,0.769783914,1
0,0,0,0,0.83522284,0,0,1
0.97826159,0,0,0,0.94960165,0,0,1
0.981083453,0,0,0,0.976269601,0,0,1
0,0,0,0,0.944665492,0,0,1
0.974038541,0,0,0,0.985668122,0,0,1
0,0,0,0.996011853,0.595536053,0,0,1
0,0,0,0,0.608652903,0,0,1
0.988285661,0,0,0,0.915135498,0,0,1
0.98349607,0.647203207,0,0.787965655,0.846243262,0,0,1
0.986973524,0,0,0.914991081,0.839758415,0,0,1
0.785882354,0,0,0.993956447,0.995779276,0,0,1
