weapon_detection_best_detections,weapon_detection_best2_detections,weapon_detection_model_detections,weapon_detection_EffientNet_detections,emotion_recognition_deepface_emotions,emotion_recognition_fer_emotions,environment_detection_violenceEnvironments,alarme
0.597072244,0,0.807188749,0,0,0.34,0,1
0.863572955,0,0.912951291,0.989978909,56.96256638,0,0,1
0.934684753,0.58046627,0.679854274,0.654201269,0,0,0,1
0,0,0,0.788666308,61.083004,0,0,1
0.93707484,0,0,0,0,0,0,1
0.845916271,0,0.850916326,0.811543882,0,0,0.535917282,1
0.658459723,0,0.663913488,0.937290788,0,0,0,1
0.757770419,0,0,0,0,0,0,1
0.963605404,0,0,0.571598947,80.23670197,0,0,1
0.977379978,0,0,0,0,0,0,1
0.957826734,0,0,0.596725166,0,0,0,1
0.972099721,0,0,0.505923569,0,0,0,1
0.961486936,0,0,0.870938897,0,0,0,1
0.74502188,0,0,0.576006591,79.37929535,0,0.718620479,1
0.598669589,0,0,0,46.14480972,0,0,1
0,0,0,0.514526844,0,0,0,1
0,0,0,0,99.67155457,0,0,1
0.65874964,0,0.741685212,0.730799913,99.85773468,0,0,1
0,0,0,0.944583416,96.54088593,0,0,1
0,0,0,0,0,0,0,1
0.83316344,0,0,0.868936598,0,0,0,1
0.658726692,0,0,0.810481131,0,0,0.522402525,1
0.832373381,0.631028235,0.830912769,0,89.36447144,0,0,1
0.765328944,0.515311122,0.695299208,0,0,0,0,1
0.812910736,0,0,0,0,0,0,1
0.580515444,0,0,0.909569681,0,0,0,1
0.819328725,0,0.777732849,0,0,0,0,1
0.78781718,0,0.844432116,0.859079957,0,0,0,1
0,0,0,0,0,0,0.611006975,1
0,0,0.701114297,0,99.86833191,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,60.68849564,0,0,1
0.814085543,0.524301052,0.828662276,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0.58903116,0.924121857,98.42557526,0,0,1
0.787794709,0.552384257,0.70301038,0,0,0,0,1
0.795029998,0,0.671950758,0,0,0,0.547904134,1
0.770858586,0,0.837905228,0.856307268,0,0,0,1
0,0,0.804980636,0,0,0,0,1
0,0,0.777651548,0,0,0,0,1
0,0,0.71784997,0.828777313,61.72373199,0,0,1
0,0,0.589156032,0.529613912,0,0,0,1
0,0,0,0.758832276,98.01676941,0,0.769783914,1
0.974038541,0,0,0,98.56681061,0,0,1
0.98349607,0.647203207,0,0.721364498,0,0,0,1
0.978808939,0,0,0.565782547,0,0,0.629033864,1
0.517772734,0,0,0.981949508,52.85170364,0,0,1
0,0,0,0.790723085,0,0,0.710995376,1
0,0,0,0,96.22466278,0,0.782345712,1
0,0,0,0.595302463,0,0,0.843297362,1
0,0.69987905,0,0,90.89858246,0,0.844202161,1
0,0,0,0,68.3596344,0,0.87235415,1
0,0,0,0.957690358,0,0,0,1
0.510397196,0,0,0,0,0,0.85999614,1
0.729980826,0.714282393,0.752503753,0,0,0,0,1
0.782443345,0,0,0,95.59815216,0,0,1
0,0,0,0.984588087,91.07079315,0,0,1
0,0,0,0.70319742,0,0,0,1
0,0,0,0.954076409,0,0.33,0,1
0,0,0.846758068,0.524514139,0,0,0,1
0.505001605,0,0,0,58.66845703,0,0,1
0,0,0,0,0,0,0,1
0.677900136,0,0,0.92515105,0,0,0,1
0.910494924,0,0,0.787357986,0,0,0,1
0.517254591,0,0,0,99.99749756,0.52,0,1
0,0,0,0.994236827,0,0,0,1
0,0,0.655909777,0,0,0,0,1
0.759057283,0,0.500784695,0,0,0.42,0,1
0,0,0.554127097,0.947962463,0,0,0.559239507,1
0,0,0.876435399,0,96.48187256,0,0.594361246,1
0,0,0.822954059,0,82.34060669,0,0.565127969,1
0,0,0.658946455,0,91.6306076,0,0.505470276,1
0,0,0.708099246,0.672480643,90.31529236,0,0,1
0,0,0,0.836070657,96.36548615,0,0,1
0.735103369,0,0.875187457,0.975185812,0,0,0,1
0.669608414,0,0.870361269,0.978268683,0,0,0,1
0.97513777,0,0,0,0,0,0,1
0.97575742,0,0,0,99.8890152,0,0,1
0.96998018,0,0,0,72.73699951,0,0,1
0.979115367,0.580247879,0,0.701484859,0,0,0.551012158,1
0.972772241,0,0,0.541740716,56.73349762,0,0,1
0.971536219,0,0,0.766325712,0,0,0,1
0,0,0,0.990457535,0,0,0.774015367,1
0.98913902,0,0,0.555898249,0,0,0,1
0,0,0,0.951891243,0,0,0.787678719,1
0,0,0,0,98.85821533,0,0.67806381,1
0,0,0,0,0,0,0,1
0,0,0.516605258,0,0,0,0,0
0.567291856,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0.595841587,0,0,0.41,0,0
0,0,0,0,0,0,0,0
0.733156741,0,0,0,0,0.59,0,0
0.514047623,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,48.44606781,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,91.27416229,0.36,0,0
0,0,0,0,86.29728699,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.531375408,0,0,0,0,0,0,0
0,0,0,0.56976521,0,0,0,0
0,0,0,0,99.87271118,0,0,0
0,0,0,0,0,0,0,0
0,0.527808607,0,0,84.29444885,0.41,0,0
0,0,0,0,0,0,0,0
0,0,0,0,99.99922943,0,0,0
0.516840577,0,0.766558886,0,50.62082291,0,0,0
0.52166754,0,0,0,78.54452515,0,0,0
0,0.502445996,0,0,44.20183182,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,57.40763474,0,0,0
0,0,0,0,81.0389328,0,0,0
0,0,0,0,65.9675827,0.56,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,99.95864868,0,0,0
0,0,0,0,0,0,0,0
0,0.827571094,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.540518045,0,0,0,0,0,0,0
0,0,0.725665867,0,99.58891296,0,0,0
0,0,0,0,99.99977112,0,0,0
0.626047671,0,0,0,0,0,0,0
0,0,0,0,99.99559021,0,0,0
0,0,0,0.830173552,0,0,0,0
0,0,0,0,56.99045563,0,0,0
0,0.654491901,0.559740067,0,99.7808609,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0.35,0,0
0,0,0.543756545,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,99.98283386,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0.607091129,0,44.09580994,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,94.87825012,0,0,0
0.75778383,0,0,0,76.34664917,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0.682118237,0,0,0.32,0,0
0.530765116,0,0,0,0,0,0,0
0,0,0,0,92.78025818,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.772870719,0,0.672651589,0,0,0.32,0,0
0,0,0.529623568,0,0,0,0,0
0.575763881,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.837445199,0,0,0,0,0,0,0
0.601735592,0,0,0,82.29479218,0,0,0
0,0,0.792796314,0.836111724,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,97.47651672,0,0,0
0,0,0,0,99.08769989,0,0,0
0,0,0.695938766,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,86.75343323,0,0,0
0,0,0,0,94.91095734,0,0,0
0.727300227,0,0,0,0,0,0,0
0.504030526,0,0.560732603,0,0,0,0,0
0,0.643156707,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0.599370539,0,0,0,0,0
0,0,0,0,99.77626038,0,0,0
0.582397759,0,0,0,0,0,0,0
0.551744998,0.626657009,0,0,91.55602264,0,0,0
0,0.638486624,0,0,99.96768188,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0.571346402,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,98.85441589,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0.659667552,0,0,57.23241425,0,0,0
0.650700986,0.561499357,0,0,0,0,0,0
0.708517253,0,0,0,0,0,0,0
0.730735421,0,0,0,99.94172668,0,0,0
0.714021266,0,0.665578902,0.719167829,0,0,0,0
0.500375569,0,0,0,43.94460678,0.33,0,0
0,0,0,0,100,0,0,0
0,0.872388065,0,0,50.9123497,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.598104596,0,0,0,60.06054306,0,0,0
0,0,0,0,48.71697617,0,0,0
0,0,0.828234375,0,61.23773956,0,0,0
0,0,0.781356692,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0.666122854,99.72212982,0,0,0
0,0,0,0,84.59217834,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,68.72357178,0,0.704662144,0
0,0,0,0,99.79481506,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0.37,0,0
0,0,0,0.589322031,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,99.65641785,0,0,0
0,0,0.732931554,0,0,0,0,0
0,0,0,0,0,0.58,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.757188261,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,81.83171082,0,0,0
0,0,0,0,99.9801178,0.58,0,0
0,0,0,0,0,0,0,0
0,0,0,0.613367856,61.23451233,0,0,0
0,0.709076941,0,0,0,0,0,0
0.741294444,0.804505348,0.846492171,0,0,0,0,1
0.52820009,0.595181644,0.655363202,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0.33,0,1
0,0,0,0,0,0.3,0,1
0.642531872,0,0,0,0,0,0,1
0.610801399,0,0,0,0,0,0,1
0.52997756,0,0,0,0,0,0,1
0.722970426,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0.57,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0.33,0,1
0.750496328,0,0.521750748,0,0,0,0,1
0,0,0,0,0,0,0,1
0.72684598,0,0,0,0,0,0,1
0.747803152,0,0,0,0,0,0,1
0.788580239,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0.859385133,0.618683934,0.86347127,0,0,0,0,1
0.713002563,0,0,0,0,0,0,1
0.830381751,0,0,0,0,0,0,1
0.828439295,0,0,0,0,0,0,1
0.530056298,0,0,0,0,0,0,1
0.821757495,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0.696788192,0,0,0,0,0,0,1
0.777656794,0,0.627412975,0,0,0,0,1
0,0,0,0,0,0,0,1
0.761345804,0,0,0,0,0,0,1
0.624363959,0,0.742454171,0,0,0,0,1
0,0,0,0,50.85617828,0,0,0
0,0,0,0,99.4461441,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,48.93957901,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0.810225904,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0.572791457,0,0,0,94.15457916,0,0,1
0,0,0.546753287,0,0,0,0,1
0.746397913,0,0.683891833,0,0,0,0,1
0.628713191,0,0,0,99.66868591,0,0,1
0,0,0,0,96.29135895,0,0,1
0.856866121,0.657261431,0.862660468,0,0,0,0,1
0.841311097,0.541215837,0.793687999,0,0,0.36,0,1
0,0,0,0,89.85455322,0.81,0,1
0.845129371,0,0,0,93.42344666,0,0,1
0,0,0.718476355,0,86.42211914,0.42,0,1
0,0,0.704440176,0,0,0,0,1
0,0,0.836177766,0,88.72909546,0,0,1
0,0,0,0,69.51968384,0,0,1
0.813419104,0,0.826074183,0,50.02974319,0,0,1
0,0,0,0,50.55783844,0.43,0,1
0,0,0,0,44.6294899,0,0,1
0,0,0,0,85.73784637,0,0,1
0.740415871,0.72475791,0,0,53.57196426,0,0,1
0,0,0,0,0,0,0,1
0.854838431,0,0.695792735,0,70.29999542,0.57,0,1
0.642135501,0.516432583,0.693040848,0,39.84311295,0.65,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0.84417522,0.892752409,0,0,0,0,0,1
0,0,0,0,65.5499115,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,49.30125809,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0.615435004,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,99.83493805,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
