model_a,model_b,pearson,spearman,abs_max
weapon_detection_EffientNet_detections,environment_detection_violenceEnvironments,0.231985036,0.243048164,0.243048164
weapon_detection_best_detections,weapon_detection_model_detections,0.236444142,0.236450982,0.236450982
weapon_detection_best_detections,weapon_detection_best2_detections,0.222849254,0.234956874,0.234956874
weapon_detection_best_detections,weapon_detection_EffientNet_detections,0.212974331,0.217217918,0.217217918
weapon_detection_best2_detections,weapon_detection_model_detections,0.194201259,0.20628723,0.20628723
weapon_detection_model_detections,weapon_detection_EffientNet_detections,0.15910042,0.147625576,0.15910042
emotion_recognition_deepface_emotions,environment_detection_violenceEnvironments,0.114588412,0.096084434,0.114588412
weapon_detection_model_detections,emotion_recognition_fer_emotions,0.079921182,0.096833939,0.096833939
emotion_recognition_deepface_emotions,emotion_recognition_fer_emotions,0.093775063,0.072861398,0.093775063
weapon_detection_EffientNet_detections,emotion_recognition_fer_emotions,-0.09051338,-0.092090264,0.092090264
emotion_recognition_fer_emotions,environment_detection_violenceEnvironments,-0.071057863,-0.075313763,0.075313763
weapon_detection_best_detections,emotion_recognition_deepface_emotions,-0.056767226,-0.051978427,0.056767226
weapon_detection_best2_detections,weapon_detection_EffientNet_detections,-0.053779838,-0.04724433,0.053779838
weapon_detection_best2_detections,emotion_recognition_deepface_emotions,0.036859516,0.047248373,0.047248373
weapon_detection_model_detections,environment_detection_violenceEnvironments,0.020689788,0.04679138,0.04679138
weapon_detection_best2_detections,emotion_recognition_fer_emotions,0.018062838,0.029647652,0.029647652
weapon_detection_best_detections,emotion_recognition_fer_emotions,0.015718972,0.014801407,0.015718972
weapon_detection_best_detections,environment_detection_violenceEnvironments,-0.000938969,0.014323274,0.014323274
weapon_detection_best2_detections,environment_detection_violenceEnvironments,0.011522066,0.009298536,0.011522066
weapon_detection_EffientNet_detections,emotion_recognition_deepface_emotions,0.000727857,-0.003006502,0.003006502
weapon_detection_model_detections,emotion_recognition_deepface_emotions,0.001527178,0.000766099,0.001527178
